,Kuntanro,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Ehdokkaan kieli,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto,Arvo/ammatti/tehtava,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa
47,91,KOK   ,1,31,FI, , ,1,620,468,1088,3,1,"varatuomari, kaupunginvaltuutettu","10146,26","3290,2",0,0,"1725,29",0,0,"1454,5",2000,0,0,"1676,27","10146,26"
48,91,KOK   ,2,27,SV, , , ,269,300,569,2,2,"VTK, konsultti, bachelor i statskunskap, konsult",5390,1215,0,0,0,2182,990,724,0,0,0,279,5390
49,91,KOK   ,2,23,98, , , ,247,203,450,1,2,"filosofian ylioppilas, Business Development Agent","7559,50","3811,50",0,0,"2372,00",0,0,"1173,00",0,"203,00",0,0,"7559,50"
50,91,KOK   ,2,67,FI, , ,1,606,250,856,3,1,"terveystieteiden tohtori, sairaanhoitaja-diakonissa",8432,5377,0,0,1393,0,50,1448,0,164,0,0,8432
51,91,KOK   ,1,47,FI, , , ,231,216,447,1,2,yrittÃ¤jÃ¤,800,370,0,0,300,130,0,0,0,0,0,0,800
52,91,KOK   ,2,48,FI, , , ,247,187,434,1,2,"yrittÃ¤jÃ¤, OTM","2919,25",0,0,0,"2263,26","482,39",0,"173,60",0,0,0,0,"2919,25"
53,91,KOK   ,1,59,FI, , , ,477,204,681,2,2,"valtiotieteiden maisteri, toiminnanjohtaja",12675,11277,0,0,1145,0,0,253,0,0,0,0,12675
54,91,KOK   ,1,27,FI, , ,1,521,491,1012,3,1,"kaupunginvaltuutettu, eduskuntaryhmÃ¤n lakimies",20566,3000,945,0,4964,0,6096,1141,0,0,0,4420,20566
55,91,KOK   ,2,43,FI, , ,1,410,396,806,2,1,"kaupunginvaltuutettu, yrittÃ¤jÃ¤","4959,59","1285,00",0,0,"790,00","1016,41",0,"1723,96","144,22",0,0,0,"4959,59"
56,91,KOK   ,1,22,FI, , , ,686,691,1377,4,1,"Kokoomusnuorten puheenjohtaja, ympÃ¤ristÃ¶ekonomian opiskelija","15965,27","3308,62",0,0,"4341,90",0,"6204,85","2109,90",0,0,0,0,"15965,27"
