,Kuntanro,Puolue,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto
58,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,45, ,,,14,36,50,3,2
59,186,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,2,31, ,,,23,57,80,5,2
60,186,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,2,48, ,,,18,55,73,4,2
61,186,'SDP',"'2461,22'","'2399,22'",0,0,0,0,0,'62',0,0,0,0,"'2461,22'",SDP   ,1,54, ,,1.0,83,109,192,11,1
62,186,'KD',0,0,0,0,0,0,0,0,0,0,0,0,0,KD    ,2,63, ,,,38,66,104,6,1
63,186,'VIHR',"'1271,87'",'173',0,0,0,"'618,56'",0,"'380,31'",'100',0,0,0,"'1271,87'",VIHR  ,2,34, ,,1.0,41,97,138,8,1
64,186,'VAS','1422','771','0','0','0','0','0','430','221','0','0','0','1422',VAS   ,2,52, ,,1.0,102,132,234,14,1
65,186,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,2,44, ,,,32,91,123,7,1
66,186,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,34, ,,,14,28,42,2,2
67,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,22, ,,1.0,30,55,85,5,2
68,186,'PS',"'2329,69'","'1737,98'",0,0,"'214,37'",0,0,"'145,91'",0,0,0,"'231,43'","'2329,69'",PS    ,1,51, ,,,28,62,90,5,2
69,186,'KOK','1043','580',0,0,'80',0,0,'278','30',0,0,'75','1043',KOK   ,2,42, ,,1.0,185,325,510,30,1
70,186,'KOK','1150','710',0,0,'55',0,0,'310',0,0,0,'75','1150',KOK   ,2,57, ,,1.0,96,99,195,12,1
71,186,'YL J',"'152,79'",0,0,0,'55',0,0,"'97,79'",0,0,0,0,"'152,79'",YL JP ,2,45, ,,,33,107,140,8,1
72,186,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,28, ,,,16,35,51,3,2
73,186,'YL J',0,0,0,0,0,0,0,0,0,0,0,0,0,YL JP ,1,41, ,,1.0,96,237,333,20,1
74,186,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,58, ,,,21,36,57,3,2
75,186,'VIHR','337','100',0,0,0,0,0,'137','100',0,0,0,'337',VIHR  ,2,34, ,,1.0,36,100,136,8,1
76,186,'VIHR',"'68,50'",0,0,0,0,0,0,"'68,50'",0,0,0,0,"'68,50'",VIHR  ,2,55, ,,1.0,34,74,108,6,2
77,186,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,73, ,,1.0,119,86,205,12,1
78,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,2,48, ,,1.0,26,82,108,6,1
79,186,'YL J',0,0,0,0,0,0,0,0,0,0,0,0,0,YL JP ,2,64, ,,,42,41,83,5,1
80,186,'YL J',0,0,0,0,0,0,0,0,0,0,0,0,0,YL JP ,1,49, ,,,23,55,78,5,2
81,186,'YL J',0,0,0,0,0,0,0,0,0,0,0,0,0,YL JP ,1,53, ,,,12,53,65,4,2
82,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,2,54, ,,,42,64,106,6,1
83,186,'YL J',0,0,0,0,0,0,0,0,0,0,0,0,0,YL JP ,1,68, ,,,55,25,80,5,2
84,186,'YL J',0,0,0,0,0,0,0,0,0,0,0,0,0,YL JP ,1,59, ,,,16,35,51,3,2
85,186,'YL J',"'730,94'","'256,54'",0,0,'55',0,0,"'349,40'",0,0,0,'70',"'730,94'",YL JP ,2,45, ,,,36,122,158,9,1
86,186,'YL J','1141','171',0,0,'55',0,0,'200','615',0,0,'100','1141',YL JP ,1,56, ,,1.0,142,260,402,24,1
87,186,'YL J','0',0,0,0,0,0,0,0,0,0,0,0,'0',YL JP ,2,42, ,,,7,27,34,2,2
88,186,'YL J',"'2012,11'",'1476',0,0,'97',0,0,"'439,11'",0,0,0,0,"'2012,11'",YL JP ,2,44, ,,1.0,98,353,451,27,1
89,186,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,2,50, ,,1.0,59,105,164,10,1
90,186,'KD',0,0,0,0,0,0,0,0,0,0,0,0,0,KD    ,1,58, ,,,24,58,82,5,2
91,186,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,29, ,,,15,41,56,3,2
92,186,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,1,27, ,,,10,59,69,4,2
93,186,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,62, ,,,19,31,50,3,2
94,186,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,69, ,,1.0,54,39,93,5,1
95,186,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,1,56, ,,1.0,56,129,185,11,1
96,186,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,63, ,,1.0,56,71,127,8,1
97,186,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,38, ,,,28,47,75,4,2
98,186,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,2,60, ,,,39,56,95,6,2
99,186,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,61, ,,1.0,45,58,103,6,1
100,186,'KOK',"'342,55'",'40',0,0,0,0,0,"'227,55'",0,0,0,'75',"'342,55'",KOK   ,1,51, ,,1.0,66,97,163,10,1
101,186,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,51, ,,,34,25,59,3,2
102,186,'KOK',"'987,09'","'596,94'",'0','0','55','0','0',"'135,65'",'0','0','0',"'199,5'","'987,09'",KOK   ,2,49, ,,,38,46,84,5,2
103,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,36, ,,,22,59,81,24,1
104,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,29, ,,,9,23,32,10,2
105,71,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,57, ,,,22,20,42,13,1
106,71,'KESK',"'332,52'","'332,52'",0,0,0,0,0,0,0,0,0,0,"'332,52'",KESK  ,1,55, ,,1.0,32,51,83,25,1
107,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,57, ,,,12,24,36,11,2
108,71,'KESK',"'1192,58'","'1062,58'",0,0,0,0,0,'130',0,0,0,0,"'1192,58'",KESK  ,1,48, ,1.0,1.0,123,102,225,68,1
109,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,49, ,,1.0,23,55,78,23,1
110,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,67, ,,1.0,53,48,101,30,1
111,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,52, ,,,21,22,43,13,1
112,71,'SDP',"'400,00'","'400,00'",0,0,0,0,0,0,0,0,0,0,"'400,00'",SDP   ,1,61, ,,,26,38,64,19,1
113,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,58, ,,,17,27,44,13,1
114,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,36, ,,,15,16,31,9,2
115,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,39, ,,,4,5,9,3,2
116,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,40, ,,,18,13,31,9,2
117,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,39, ,,,10,13,23,7,2
118,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,31, ,,,2,8,10,3,2
119,71,'KESK',"'420,10'","'195,10'",0,0,0,0,0,'175',0,0,0,'50',"'420,10'",KESK  ,1,36, ,,,0,20,20,6,2
120,71,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,2,47, ,,,21,32,53,16,2
121,71,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,57, ,,,13,14,27,8,2
122,71,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,72, ,,1.0,17,15,32,10,1
123,71,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,63, ,,1.0,22,14,36,11,1
124,71,'PS','0',0,0,0,0,0,0,0,0,0,0,0,'0',PS    ,1,58, ,,,10,10,20,6,2
125,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,43, ,,,11,10,21,6,2
126,71,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,42, ,,,11,19,30,9,2
127,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,56, ,,1.0,33,39,72,22,1
128,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,57, ,,,27,12,39,12,2
129,71,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,2,20, ,,,10,19,29,9,1
130,71,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,55, ,,1.0,26,28,54,16,1
131,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,44, ,,1.0,45,27,72,22,1
132,71,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,57, ,,,10,14,24,7,2
133,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,69, ,,1.0,38,24,62,19,1
134,71,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,71, ,,1.0,42,49,91,27,1
135,71,'VaVa',0,0,0,0,0,0,0,0,0,0,0,0,0,VaVa  ,2,63, ,,1.0,17,15,32,10,2
136,71,'KESK',"'289,98'","'289,98'",0,0,0,0,0,0,0,0,0,0,"'289,98'",KESK  ,1,55, ,,1.0,51,36,87,26,1
137,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,29, ,,,49,120,169,51,1
138,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,49, ,,1.0,44,33,77,23,1
139,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,31, ,,,7,28,35,11,2
140,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,55, ,,1.0,29,46,75,23,1
141,71,'VaVa',0,0,0,0,0,0,0,0,0,0,0,0,0,VaVa  ,2,59, ,,1.0,16,30,46,14,1
142,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,54, ,,,15,20,35,11,2
143,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,64, ,,,8,17,25,8,2
144,71,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,2,64, ,,1.0,35,37,72,22,1
145,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,67, ,,,17,12,29,9,2
146,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,45, ,,,15,27,42,13,1
147,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,56, ,,1.0,28,38,66,20,1
148,71,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,1,60, ,,1.0,18,13,31,9,2
149,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,60, ,,,16,23,39,12,1
150,71,'KESK','50','0','0','0','0','0','0','0','0','0','0','50','50',KESK  ,2,44, ,,,17,18,35,11,2
151,71,'VAS',0,0,0,0,0,0,0,0,0,0,0,0,0,VAS   ,2,71, ,,,22,13,35,11,2
152,71,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,33, ,,,10,23,33,10,2
153,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,49, ,,,14,15,29,9,2
154,71,'VaVa',0,0,0,0,0,0,0,0,0,0,0,0,0,VaVa  ,2,38, ,,,10,26,36,11,2
155,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,2,27, ,,,22,52,74,22,1
156,71,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,40, ,,,4,32,36,11,2
157,71,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,50, ,,,10,29,39,12,2
158,71,'KESK','50','50',0,0,0,0,0,0,0,0,0,0,'50',KESK  ,1,40, ,,1.0,9,23,32,10,2
159,980,'KOK',"'2372,79'","'1492,24'",0,0,"'135,35'",0,0,"'295,20'",0,0,0,"'450,00'","'2372,79'",KOK   ,2,44, ,,1.0,29,141,170,12,1
160,980,'KOK',"'1508,35'","'1162,35'",0,0,0,0,0,'246',0,0,0,'100',"'1508,35'",KOK   ,1,21, ,,,35,93,128,9,1
161,980,'SDP','1033','300','0','0','0','0','200','533','0','0','0','0','1033',SDP   ,1,30, ,,1.0,76,241,317,23,1
162,980,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,2,35, ,,,33,50,83,6,2
163,980,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,65, ,,,24,36,60,4,2
164,980,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,31, ,,,12,40,52,4,2
165,980,'SDP',"'650,91'","'650,91'",0,0,0,0,0,0,0,0,0,0,"'650,91'",SDP   ,2,64, ,,,38,41,79,6,2
166,980,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,56, ,,,11,45,56,4,2
167,980,'PS',0,0,0,0,0,0,0,0,0,0,0,0,0,PS    ,1,41, ,,,20,43,63,5,2
168,980,'SDP','3360','600',0,0,0,0,'190','750',0,0,0,'1820','3360',SDP   ,2,52, ,,,49,47,96,7,1
169,980,'PS','966','966',0,0,0,0,0,0,0,0,0,0,'966',PS    ,1,30, ,,,113,116,229,17,1
170,980,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,64, ,,1.0,86,73,159,12,1
171,980,'KESK',0,0,0,0,0,0,0,0,0,0,0,0,0,KESK  ,1,48, ,,,10,37,47,3,2
172,980,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,1,62, ,,,28,56,84,6,2
173,980,'KOK',"'3454,17'","'918,75'",0,0,"'608,62'",0,0,"'1654,05'","'202,75'",0,0,'70',"'3454,17'",KOK   ,1,42, ,,,63,47,110,8,1
174,980,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,2,33, ,,,13,45,58,4,2
